authorYear	phase	N	age_mean	age_sd	age_min	age_max	female_pct	modality	origin	dataset	disease
Gimbel2025	Uninvestigated	37407	39.88	23.47	3.0	90.0	53.4	T1w MRI;T2w MRI	Pre-trained	Multi-site aggregated dataset (87 datasets;ENIGMA Lifespan WG and collaborators)	Fetal Alcohol Spectrum Disorder (FASD)
Bhome2024	Uninvestigated	29418	46.9	24.4	2.0	100.0		T1w MRI	Pre-trained	UCL;NACC ADRC '8361' (NACC)	Parkinson's disease (PD);Dementia with Lewy bodies (DLB)
Bethlehem2021	Uninvestigated	101457			0.0	100.0		Others;T1w MRI	New	Multi-site aggregated dataset (ABCD;HCP;UK Biobank;AIBL;ADNI;and 100+ other studies)	Alzheimer's disease (AD);Mild cognitive impairment (MCI);Parkinson's disease (PD);Lewy body dementia (LBD);Schizophrenia (SCZ);Major depressive disorder (MDD);Bipolar disorder (BD);Autism spectrum disorder (ASD);Anxiety disorders (ANX);Obsessive–compulsive disorder (OCD)
Baldwin2022	Uninvestigated	1243	22.32	4.96			44.7	T1w MRI	New	ENIGMA Clinical High Risk for Psychosis (ENIGMA CHR-P) consortium dataset	Clinical high risk for psychosis (CHR-P);transition to first episode psychosis
Coupe2022	Uninvestigated	2655	36.07		0.74	94.0		T1w MRI	New	C-MIND;NDAR;ABIDE;ICBM;IXI;OASIS;ADNI	Yes
Bethlehem2020	Uninvestigated	660	16.64	8.98	5.89	64.0	0.0	T1w MRI	New	ABIDE I;ABIDE II	Autism Spectrum Disorder (ASD)
Chien2022	Uninvestigated	626	20.16	8.5	5.0	40.0	39.9	Others;dMRI	New		Schizophrenia;Autism spectrum disorder (ASD);Attention-deficit/hyperactivity disorder (ADHD)
Elad2021	Uninvestigated	512	30.15	14.26			45.5	Others;dMRI	New	Multi-site aggregated dataset (13 sites;dataset per Cetin-Karayumak et al., 2020)	Schizophrenia-spectrum disorder (SCZ)
Bayer2022	Uninvestigated	569	17.17	8.12	6.5	40.0	17.4	T1w MRI	New	ABIDE I	Autism spectrum disorder (ASD)
Haas2024	Uninvestigated	37407	39.88	23.47	3.0	90.0	53.4	T1w MRI	Pre-trained	Multi-site aggregated dataset (87 datasets;ENIGMA Lifespan WG and collaborators)	Clinical high risk for psychosis (CHR-P);conversion to psychotic disorder
Bedford2025	Uninvestigated	1869	15.0	7.9	2.0	64.0	36.8	T1w MRI	Pre-trained	ABIDE;POND;HBN;ADHD200;NIMH NDA Females with ASD;UK MRC-AIMS;UCSD Biomarkers of Autism	Autism Spectrum Disorder (ASD);Attention-Deficit/Hyperactivity Disorder (ADHD);Co-occurring autism+ADHD (subset)
Chan2025B	Uninvestigated	260	50.8	16.8	18.0	79.0	54.2	Others	New		Parkinson's disease (PD)
Cirstian2024	Uninvestigated	12457			0.04	100.0		dMRI	New	HCP Baby;HCP Development;HCP Young Adult;HCP Aging;UK Biobank	Early Psychosis (EP)
CardenasDeLaParra2019	Uninvestigated	339	11.0		4.5	18.5	52.8	T1w MRI	Pre-trained	NIHPD (NIH MRI study of normal brain development)	16p11.2 BP4-5 deletion;16p11.2 BP4-5 duplication. Associated conditions include neurodevelopmental disorders such as Autism Spectrum Disorder (ASD) and intellectual disability.
